,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
149,89196948443ffff,0,0,0,0,0
150,89196958b17ffff,0,0,0,0,0
151,89196bb3197ffff,0,0,0,0,0
152,8919694b11bffff,0,0,0,1,1
153,89196b86bdbffff,0,0,0,0,0
154,8919694a14fffff,1,1,0,1,0
155,89196941323ffff,0,1,0,0,0
156,8919694822bffff,0,1,0,1,0
157,8919694a333ffff,0,1,1,1,0
158,891969412a7ffff,0,0,0,0,1
159,8919694a88bffff,0,0,0,0,0
160,89196949c87ffff,0,1,0,1,0
161,8919694b47bffff,1,1,0,1,0
162,89196bb2203ffff,0,0,0,0,0
163,89196bb3687ffff,0,0,0,0,0
164,891969432d7ffff,0,0,0,1,0
165,8919694a05bffff,0,1,0,0,0
166,89196948d5bffff,0,0,0,0,0
167,8919694a273ffff,0,1,0,1,0
168,89196949873ffff,0,1,0,1,0
169,891969499b7ffff,0,0,0,0,0
170,8919694a18bffff,0,0,0,0,0
171,89196bb2617ffff,0,0,0,0,0
172,89196948e9bffff,0,1,0,0,0
173,8919694ad8fffff,0,0,0,0,0
174,89196958823ffff,0,0,0,0,0
175,8919694b523ffff,0,1,0,1,0
176,8919694b59bffff,0,1,0,1,0
177,8919694e657ffff,0,0,0,1,0
178,8919694abb7ffff,0,0,0,0,0
179,891969485b3ffff,0,1,0,1,0
180,89196958b5bffff,0,0,0,0,0
181,89196948573ffff,0,0,0,1,0
182,8919694819bffff,0,0,1,1,0
183,89196948e2bffff,0,0,0,0,0
184,89196949d93ffff,0,1,0,1,0
185,8919694f6c7ffff,0,1,0,1,0
186,8919694a257ffff,0,1,0,1,0
187,89196948dcbffff,0,1,0,0,0
188,8919694917bffff,0,1,0,0,0
189,89196948e47ffff,0,1,0,0,1
190,89196948bafffff,0,0,1,0,0
191,89196949a73ffff,0,0,0,1,0
192,8919694a04fffff,0,0,0,0,0
193,891969489afffff,0,0,1,0,0
194,89196949537ffff,0,0,0,0,0
195,89196bb2477ffff,0,0,0,0,0
196,8919694895bffff,0,0,0,0,0
197,89196959b37ffff,0,1,0,0,1
198,89196bb2553ffff,0,0,0,0,0
199,8919694859bffff,0,1,0,1,0
200,891969480afffff,0,0,0,1,0
201,89196948bd7ffff,1,0,1,0,0
202,89196958b1bffff,0,0,0,0,0
203,89196958907ffff,0,0,0,0,0
204,89196941483ffff,0,0,0,0,0
