,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
652,8919694a617ffff,0,0,0,0,0
653,89196941663ffff,0,0,0,0,0
654,89196959bb3ffff,0,1,0,0,0
655,89196948b8fffff,0,0,0,0,0
656,8919694a28bffff,0,1,1,1,0
657,8919694886bffff,0,0,0,0,0
658,89196941b2fffff,0,0,0,1,0
659,8919694ae37ffff,0,0,0,0,0
660,89196bb2053ffff,0,0,0,0,0
661,8919694a42fffff,0,0,0,0,0
662,8919695893bffff,0,0,0,0,0
663,891969490a7ffff,0,0,0,0,0
664,891969490c3ffff,0,0,0,0,0
665,89196b86983ffff,1,0,0,0,0
666,89196bb2453ffff,0,0,0,0,0
667,8919694a94fffff,0,0,0,0,0
668,8919694ae1bffff,0,1,1,1,0
669,89196bb20d7ffff,0,0,0,0,0
670,89196bb2643ffff,0,0,0,0,0
671,8919694aac3ffff,0,0,0,1,0
672,891969482c3ffff,0,0,0,0,0
673,8919694ac23ffff,0,0,0,0,0
674,8919694b183ffff,0,1,0,1,0
675,8919694f44fffff,0,1,0,1,0
676,8919694822fffff,0,1,0,1,0
677,89196948e63ffff,0,0,0,0,0
678,89196949017ffff,0,0,0,0,0
679,89196949c53ffff,0,1,0,0,0
680,89196bb31a3ffff,0,0,0,0,0
681,89196949483ffff,0,0,0,0,0
682,89196b8680fffff,0,0,0,0,0
683,89196949937ffff,0,0,0,0,0
684,8919694a9c7ffff,0,0,0,0,0
685,89196941e0fffff,0,0,0,0,0
686,89196b86977ffff,0,0,0,0,0
687,89196948e0fffff,0,1,0,0,1
688,8919694b54bffff,0,1,0,1,0
689,891969494d3ffff,0,0,0,0,0
690,8919694a037ffff,1,0,0,1,0
691,8919694a013ffff,0,0,0,0,0
692,89196948b0bffff,0,0,0,0,0
693,89196941627ffff,0,0,0,0,0
694,89196948e3bffff,0,1,0,1,0
695,8919694f46bffff,0,1,0,1,0
696,89196958bbbffff,0,0,0,0,0
697,89196949b8fffff,0,0,0,1,0
698,8919694a937ffff,0,0,0,0,0
699,89196949153ffff,0,0,0,0,0
700,8919694a3d3ffff,0,1,0,1,0
701,891969432c7ffff,0,0,0,0,0
702,8919694a36fffff,0,1,0,0,0
703,8919694a103ffff,1,0,0,0,0
704,8919694838bffff,0,0,0,1,0
705,8919694107bffff,0,0,0,0,0
706,8919694b1dbffff,0,0,0,1,0
707,89196bb227bffff,0,0,0,0,0
708,8919694a39bffff,0,1,0,1,0
709,89196bb2403ffff,0,0,0,0,0
710,89196b86aafffff,0,0,1,0,0
711,89196bb22c7ffff,0,0,0,0,0
712,8919694a547ffff,0,0,0,0,0
713,8919694366bffff,0,0,0,1,0
714,8919694b467ffff,0,0,0,1,0
715,8919694b58fffff,0,1,1,1,0
716,8919694e643ffff,0,1,0,1,0
717,89196948647ffff,0,0,0,0,0
718,89196bb22cbffff,0,0,0,0,0
719,89196b86bbbffff,0,0,0,0,0
720,89196949ab7ffff,0,0,0,0,0
721,8919694839bffff,0,0,0,0,0
722,8919694a5d3ffff,0,0,0,0,0
723,89196948ed3ffff,0,1,0,0,0
724,89196948d07ffff,0,1,0,0,0
725,89196bb24d7ffff,0,0,0,0,0
726,89196bb2683ffff,0,0,1,0,0
727,891969493a7ffff,0,0,0,0,0
728,89196b86917ffff,0,0,0,0,0
729,8919694124bffff,0,0,0,0,0
730,8919694b477ffff,0,0,1,0,0
731,89196941303ffff,0,0,0,1,0
732,8919694b373ffff,0,0,0,0,0
733,89196948927ffff,0,0,1,0,0
734,89196b86b6bffff,0,0,0,0,0
735,8919694a983ffff,0,0,0,0,0
736,891969486c7ffff,0,0,0,0,0
737,8919694891bffff,0,0,0,0,0
738,89196b86b07ffff,0,0,0,0,0
739,8919694a973ffff,0,0,0,0,0
740,8919694942fffff,0,0,0,0,0
741,891969490dbffff,0,0,0,0,0
742,8919694145bffff,0,0,0,0,0
743,89196948117ffff,0,0,0,0,0
744,8919694b17bffff,0,0,0,0,0
745,891969589d7ffff,0,0,0,0,0
746,8919694ae0fffff,0,0,1,1,0
747,891969488d3ffff,0,0,0,1,0
748,89196959b63ffff,0,0,0,0,0
749,8919694b097ffff,0,1,0,1,0
750,89196bb266bffff,1,0,0,0,0
751,8919694b367ffff,0,0,0,0,0
752,89196949b57ffff,0,0,1,1,0
753,89196959a2fffff,0,1,1,0,0
754,89196bb221bffff,0,0,0,0,0
755,8919694ad7bffff,0,0,0,0,0
756,8919694ac8fffff,0,0,0,0,1
757,89196948a1bffff,1,0,0,0,0
758,89196948c2fffff,0,0,0,0,0
759,8919694a9bbffff,0,0,0,0,0
760,89196bb3577ffff,1,0,0,0,0
761,89196948e83ffff,0,1,0,0,0
762,89196949ebbffff,0,1,0,1,0
763,8919694f6cbffff,0,1,0,1,0
764,8919694f4d7ffff,0,0,0,0,0
765,89196948943ffff,0,0,0,0,0
766,8919694f48bffff,0,0,0,0,0
767,89196bb2433ffff,0,0,0,0,0
768,8919694136fffff,0,0,0,0,0
769,8919694f40fffff,0,0,0,1,0
770,8919694f44bffff,0,1,0,0,0
771,8919694b2a7ffff,0,0,0,0,0
772,891969412c3ffff,0,0,0,0,1
773,8919694d6d7ffff,0,0,0,0,0
774,891969480cbffff,0,0,0,0,0
775,89196941297ffff,0,0,0,0,0
776,89196bb36afffff,0,0,0,0,0
777,8919694a5b3ffff,0,0,0,0,0
778,8919694ab67ffff,0,1,0,0,0
779,8919694a3a7ffff,1,0,0,1,0
780,89196949c27ffff,0,1,0,1,0
781,89196948427ffff,0,0,0,1,0
782,89196958b8bffff,0,0,0,0,0
783,8919694b567ffff,0,1,0,1,0
784,89196948653ffff,0,0,0,0,0
785,89196b84887ffff,0,0,0,0,0
786,89196949a7bffff,1,0,0,1,0
787,89196bb342bffff,0,0,0,0,0
788,8919694a84bffff,0,0,1,0,0
789,8919694a427ffff,0,0,0,0,0
790,8919694b4b3ffff,0,1,1,0,0
791,89196bb346bffff,0,0,0,0,0
792,8919694a4abffff,0,0,0,0,0
793,89196949593ffff,0,0,0,0,0
794,89196949e47ffff,0,0,0,0,0
795,89196b8682bffff,0,0,0,0,0
796,8919694a32bffff,0,1,0,1,0
797,89196949d5bffff,0,1,0,1,0
798,8919694b0d3ffff,0,0,0,1,0
799,89196949d73ffff,0,1,0,1,0
800,89196949137ffff,0,1,0,1,0
801,891969490cfffff,0,0,0,0,0
802,8919694892bffff,0,0,1,0,0
803,8919694b3cfffff,0,0,0,0,0
804,8919694a2c7ffff,0,1,0,1,0
805,89196bb35abffff,0,0,0,0,0
806,89196bb2037ffff,0,0,0,0,0
807,8919694f437ffff,0,0,0,1,0
808,8919694a6a3ffff,0,0,0,0,0
809,89196b8681bffff,0,0,1,0,0
810,8919694b3a3ffff,0,0,0,0,0
811,8919694988bffff,0,1,1,1,0
812,8919694836bffff,0,1,0,1,0
813,89196949e4bffff,0,0,0,0,0
814,89196948ccfffff,0,1,0,0,0
815,891969413dbffff,0,0,0,0,0
816,89196948d43ffff,0,0,0,0,0
817,8919694a597ffff,0,0,0,0,0
818,8919694aa3bffff,0,0,0,0,0
819,89196949977ffff,0,0,0,0,0
820,89196bb246fffff,0,0,0,0,0
821,8919694a0b3ffff,0,1,1,0,0
822,8919694a893ffff,0,0,0,0,0
823,8919694954fffff,0,0,0,0,0
824,89196948b93ffff,0,0,0,0,0
825,8919695890fffff,0,0,0,0,0
826,8919694a117ffff,0,0,0,0,0
827,8919694a25bffff,0,1,1,1,0
828,891969496abffff,0,0,0,0,0
829,89196bb220bffff,0,0,0,0,0
830,89196bb223bffff,0,0,0,0,0
831,8919694b1afffff,0,1,0,1,0
832,89196948657ffff,0,0,0,0,0
833,89196bb2437ffff,0,0,0,0,0
834,89196bb24d3ffff,0,0,0,0,0
835,891969412d7ffff,0,0,0,0,0
836,89196949ba3ffff,1,0,0,1,0
837,89196948977ffff,0,0,1,0,0
838,891969481a3ffff,0,0,0,0,0
839,89196958bc3ffff,0,0,0,0,1
840,8919694894fffff,0,0,0,0,0
841,89196941e47ffff,0,0,0,0,0
842,89196949463ffff,0,0,0,0,0
843,891969413a3ffff,0,0,0,1,0
844,8919694acb3ffff,0,0,0,0,0
845,8919694a507ffff,0,1,0,0,0
846,89196948cc3ffff,0,1,0,0,0
847,8919694b3c7ffff,0,0,0,0,0
848,89196bb26b7ffff,1,0,0,0,0
849,891969494a3ffff,0,0,0,0,0
850,89196958b0bffff,0,0,0,0,0
851,8919694832bffff,0,1,0,1,0
852,89196949a23ffff,0,0,0,1,0
853,8919694b393ffff,0,0,0,0,0
854,89196943203ffff,0,0,0,0,0
855,89196949577ffff,0,0,1,0,0
856,891969490afffff,0,0,0,0,0
857,891969482d7ffff,0,0,0,0,0
858,8919694aedbffff,1,0,0,1,0
859,89196949c8fffff,0,1,0,1,0
860,89196958833ffff,0,0,0,0,0
861,89196949543ffff,0,0,0,0,0
862,8919694f41bffff,0,0,0,1,0
863,8919694ad9bffff,0,0,0,0,0
864,89196941333ffff,0,1,0,1,0
865,8919694d683ffff,0,0,0,0,0
866,8919694d6cbffff,0,0,0,0,0
867,89196b86b47ffff,0,0,0,0,0
868,89196941233ffff,0,0,0,0,1
869,89196bb2677ffff,0,0,0,0,0
870,89196bb2603ffff,0,0,0,0,0
871,8919694a173ffff,1,0,0,1,0
872,89196b86dafffff,0,0,0,0,0
873,8919694a54fffff,0,0,0,0,0
874,89196948623ffff,0,0,0,0,0
875,89196958d7bffff,0,0,0,1,0
876,89196941447ffff,0,0,0,0,0
877,8919694b35bffff,0,0,0,0,0
878,8919694a24bffff,0,1,0,1,0
879,8919694ab87ffff,0,0,0,0,0
880,8919695992bffff,0,0,0,0,0
881,891969488c7ffff,0,0,0,1,0
882,89196bb24dbffff,0,0,0,0,0
883,89196948a93ffff,0,0,0,0,0
884,891969482cfffff,0,0,0,0,0
885,89196b86873ffff,0,0,0,0,0
886,89196949c4fffff,0,1,0,1,0
887,89196941b63ffff,0,0,0,1,0
888,89196bb3457ffff,0,0,0,0,0
889,89196948837ffff,0,0,0,0,0
890,89196948497ffff,0,1,0,0,0
891,8919694a08fffff,0,0,0,0,0
892,8919694b387ffff,0,0,1,1,0
893,8919694b0b7ffff,0,0,0,1,1
894,8919694a08bffff,0,0,0,0,0
895,89196b86823ffff,0,0,0,0,0
896,8919694b30fffff,0,0,0,0,0
897,8919694a0cfffff,1,1,0,0,0
898,8919694a45bffff,0,0,0,0,0
899,8919694b08fffff,0,0,0,0,0
900,89196948ab7ffff,0,0,0,0,0
901,8919694b3bbffff,0,0,1,0,0
902,8919694b353ffff,0,0,0,0,0
903,89196b86b77ffff,0,0,0,0,0
904,8919694104bffff,1,0,0,0,0
905,89196bb35cfffff,0,0,0,0,0
906,89196948593ffff,0,1,0,1,0
907,89196949ba7ffff,1,0,0,1,0
908,8919694ae03ffff,0,1,1,1,0
909,89196bb34dbffff,1,0,0,1,0
910,89196bb23c7ffff,0,0,0,0,0
911,89196bb30d3ffff,0,0,0,0,0
912,8919694d4cbffff,0,0,1,0,0
913,89196948353ffff,0,0,0,1,0
914,8919694b427ffff,0,1,0,0,0
915,8919694ad6bffff,0,0,0,0,0
916,8919694947bffff,0,0,0,0,0
917,8919694130fffff,0,0,0,1,0
918,89196949123ffff,0,1,0,1,0
919,89196948003ffff,0,0,0,0,0
920,8919694f407ffff,0,0,0,1,0
921,89196949b13ffff,1,0,0,1,0
922,89196bb26dbffff,0,0,0,0,0
923,89196949d0bffff,0,1,0,1,0
924,891969484c7ffff,0,0,0,0,0
925,89196958863ffff,0,0,1,0,0
926,89196948057ffff,0,0,0,1,0
927,89196958bb7ffff,0,0,0,0,0
928,8919694829bffff,0,0,0,0,0
929,8919694a42bffff,0,0,0,0,0
930,8919694128bffff,0,0,0,0,0
931,8919694a043ffff,0,1,0,0,0
932,8919694f6afffff,0,1,0,1,0
933,89196949d27ffff,0,0,0,1,0
934,8919694ad8bffff,0,0,0,0,0
935,8919694f423ffff,0,1,0,1,0
936,8919694b297ffff,0,0,0,0,0
937,89196948d03ffff,0,1,0,0,0
938,89196941e73ffff,0,0,1,0,0
939,89196948b13ffff,0,0,1,0,0
940,8919694aebbffff,0,1,0,0,0
941,8919694a917ffff,0,0,0,0,0
942,89196949597ffff,0,0,0,0,0
943,8919694b18fffff,0,1,0,1,0
944,8919694324fffff,0,0,0,0,0
945,89196948167ffff,0,1,0,1,0
946,8919694f4dbffff,0,0,0,0,0
947,89196941e63ffff,0,0,0,0,0
948,8919694b06fffff,0,0,0,0,0
949,8919694b143ffff,0,0,0,1,0
950,89196b868abffff,0,0,0,0,0
951,89196948a57ffff,1,0,0,0,0
952,8919694ad87ffff,0,0,0,0,0
953,8919694f69bffff,0,0,0,0,0
954,89196948053ffff,0,0,0,1,0
955,891969484b7ffff,0,1,0,0,0
956,8919694b497ffff,0,1,0,0,0
957,8919694b6b7ffff,1,0,1,1,0
958,8919694144bffff,0,0,0,0,0
959,89196948e43ffff,0,1,0,0,1
960,89196bb2043ffff,0,0,0,0,0
961,8919694ac07ffff,0,0,0,0,0
962,8919694a9abffff,0,0,0,0,0
963,89196b84c2bffff,0,0,0,0,0
964,8919694ac3bffff,0,0,0,0,0
965,8919694956fffff,0,0,0,0,0
966,8919694aa4fffff,0,0,0,0,0
967,89196949c43ffff,0,1,0,1,0
968,89196bb24a3ffff,0,0,0,0,0
969,89196948917ffff,0,0,0,0,0
970,891969482cbffff,0,0,0,0,0
971,8919694886fffff,0,0,0,0,0
972,8919694a907ffff,0,0,0,0,0
973,8919694f687ffff,0,1,0,1,0
974,891969484a3ffff,0,0,1,0,0
975,89196bb2233ffff,0,0,0,0,0
976,89196bb34d3ffff,1,0,0,1,0
977,8919694133bffff,0,0,0,1,0
978,89196b848a7ffff,0,0,0,0,0
979,8919694856fffff,0,0,1,1,0
980,8919694b397ffff,0,0,0,1,0
981,89196bb36d3ffff,0,0,0,0,0
982,8919694b40fffff,0,1,1,0,0
983,8919694a443ffff,0,0,0,0,0
984,89196941acbffff,0,0,0,0,1
985,8919694146bffff,0,0,0,0,0
986,89196949163ffff,0,1,0,0,0
987,8919694a0afffff,1,1,1,1,0
988,8919694861bffff,0,0,0,0,0
989,8919694ae4bffff,0,1,0,1,0
990,8919694989bffff,0,1,1,1,0
991,89196948a2bffff,1,0,1,0,1
992,8919694a653ffff,0,1,0,0,0
993,891969410dbffff,0,0,0,1,0
994,89196948a37ffff,1,0,1,0,0
995,89196948523ffff,0,0,1,1,0
996,8919694b357ffff,0,0,1,0,0
997,89196b8698bffff,0,0,0,0,0
998,8919694982fffff,0,0,0,1,0
999,89196bb2253ffff,0,0,0,0,0
1000,89196941327ffff,0,1,1,0,0
1001,8919694b0c3ffff,0,0,0,1,0
1002,8919694a3abffff,0,1,0,1,0
1003,8919694b407ffff,0,1,1,0,0
1004,8919694a6bbffff,0,0,0,0,0
1005,89196949a57ffff,0,0,0,1,0
1006,89196bb2247ffff,0,0,0,0,0
1007,89196948e37ffff,0,0,1,1,0
1008,89196949857ffff,0,1,0,1,0
1009,891969483afffff,0,1,0,1,0
1010,89196948157ffff,0,0,0,0,0
1011,8919694a69bffff,0,0,0,0,0
1012,8919694366fffff,0,0,0,0,0
1013,89196b84c83ffff,0,0,0,0,0
1014,8919694a5abffff,0,0,0,0,0
1015,89196bb267bffff,0,0,0,0,0
1016,8919694a89bffff,0,0,0,0,0
1017,89196bb31d3ffff,0,0,0,0,0
1018,89196941243ffff,0,0,0,0,0
1019,891969413bbffff,0,0,0,1,0
1020,891969495afffff,0,0,0,0,0
1021,89196941bafffff,0,0,0,0,0
1022,89196941273ffff,0,0,0,0,0
1023,89196b86913ffff,0,0,0,0,0
1024,891969488c3ffff,0,0,0,1,0
1025,8919694aad7ffff,0,0,0,1,0
1026,8919694ac5bffff,0,0,0,1,1
1027,89196949c17ffff,0,1,0,0,0
1028,89196941a53ffff,0,0,0,0,0
1029,8919694a113ffff,1,0,0,0,0
1030,8919694833bffff,0,1,0,1,0
1031,89196959933ffff,0,0,0,0,0
1032,89196948ea3ffff,0,0,0,1,0
1033,89196b86973ffff,0,0,0,0,0
1034,89196959babffff,0,0,0,0,0
1035,89196941607ffff,0,0,0,0,0
1036,8919694add3ffff,0,0,0,0,0
1037,89196bb24c3ffff,0,0,0,0,0
1038,89196949447ffff,0,0,0,0,0
1039,89196958913ffff,0,0,0,0,0
1040,89196bb2607ffff,0,0,0,0,0
1041,891969498bbffff,0,1,0,1,0
1042,8919694ab8fffff,0,1,0,0,0
1043,89196b86ba7ffff,0,0,0,0,0
1044,8919694b00fffff,0,0,0,0,0
1045,891969498d3ffff,0,1,0,1,0
1046,89196bb24c7ffff,0,0,0,0,0
1047,8919694b073ffff,0,0,0,0,0
1048,891969480bbffff,0,0,0,1,1
1049,8919694a913ffff,0,0,0,0,0
1050,8919694a683ffff,0,0,0,0,0
1051,8919695882fffff,0,0,0,0,0
1052,89196948363ffff,0,0,0,1,0
1053,8919694134bffff,0,0,0,0,1
1054,8919694a373ffff,0,1,0,1,0
1055,89196b84c37ffff,0,0,0,0,0
1056,891969589c7ffff,0,0,0,0,0
1057,8919694aab3ffff,0,0,1,0,0
1058,8919694106bffff,0,0,0,0,0
1059,89196948967ffff,0,0,1,0,0
1060,8919694a497ffff,0,0,0,0,0
1061,8919694b06bffff,0,0,0,0,0
1062,89196959bbbffff,0,1,0,0,0
1063,8919694993bffff,0,0,0,0,0
1064,8919694adb3ffff,0,0,0,0,0
1065,8919694a517ffff,0,0,0,0,0
1066,8919694d657ffff,0,0,1,0,0
1067,8919694800fffff,0,0,0,0,0
1068,8919694b683ffff,0,0,0,0,0
1069,8919694a20bffff,0,1,1,1,0
1070,89196958973ffff,0,0,0,0,0
1071,891969414cbffff,0,0,0,0,0
1072,8919694855bffff,0,0,0,1,0
1073,8919694b573ffff,0,1,0,1,0
1074,89196949967ffff,0,0,0,0,0
1075,8919694b05bffff,0,0,0,0,0
1076,8919694b60fffff,0,0,1,0,0
1077,8919694a057ffff,1,1,0,1,0
1078,8919694ae6fffff,0,0,0,1,0
1079,8919694b46fffff,0,0,0,1,0
1080,8919694b56bffff,0,1,1,0,0
1081,8919694a82bffff,0,0,0,0,0
1082,891969589dbffff,0,0,0,0,0
1083,89196b84c1bffff,0,0,0,0,0
1084,89196958ba3ffff,0,0,0,0,0
1085,8919694e2cfffff,0,1,1,1,1
1086,8919694abcbffff,0,0,0,0,0
1087,89196948eabffff,0,0,0,1,0
1088,89196b86877ffff,0,0,0,0,0
1089,8919694a5afffff,0,0,0,0,0
1090,89196949d7bffff,0,1,0,1,0
1091,8919694884fffff,1,0,0,0,0
1092,89196948cd7ffff,0,1,0,0,0
1093,89196b84c27ffff,0,0,0,0,0
1094,89196958d6bffff,0,0,0,1,0
1095,89196949817ffff,0,1,0,1,0
1096,8919694b193ffff,0,1,0,1,0
1097,89196948127ffff,0,1,0,0,0
1098,89196bb2487ffff,0,0,0,0,0
1099,89196948b77ffff,0,0,0,0,0
1100,8919695898fffff,0,0,0,0,0
1101,8919694acbbffff,0,0,0,0,0
1102,89196bb24b3ffff,0,0,0,0,0
1103,89196948eb3ffff,0,1,0,1,0
1104,89196948e4fffff,0,1,0,0,1
1105,89196bb31bbffff,0,0,0,0,0
1106,89196bb24afffff,0,0,0,0,0
1107,8919694adabffff,0,0,0,0,0
1108,8919694f433ffff,0,0,0,1,0
1109,89196b869d7ffff,0,0,0,0,0
1110,89196949083ffff,0,0,0,0,0
1111,89196941493ffff,0,0,0,0,0
1112,89196bb2573ffff,0,0,0,0,0
1113,8919694f4d3ffff,0,0,0,0,0
1114,89196bb263bffff,0,0,0,0,0
1115,89196948ac7ffff,0,0,0,0,0
1116,8919694a93bffff,0,0,1,0,0
1117,89196949e23ffff,0,1,0,1,0
1118,89196b869afffff,1,0,0,1,0
1119,8919694b033ffff,0,0,0,1,0
1120,89196949553ffff,0,0,0,0,0
1121,8919694abd7ffff,0,0,0,0,0
1122,891969498afffff,1,0,0,0,0
1123,8919694a07bffff,0,1,0,1,0
1124,8919694a1afffff,0,0,0,0,0
1125,8919694955bffff,0,0,0,0,0
1126,89196958a23ffff,0,0,0,0,0
1127,89196948423ffff,0,0,0,1,0
1128,89196948ecfffff,0,1,0,0,0
1129,89196949b5bffff,0,0,0,1,0
1130,891969490abffff,0,0,0,0,0
1131,8919694b52fffff,0,1,0,1,0
1132,8919694f4cfffff,0,0,0,0,0
1133,89196948233ffff,0,0,0,0,0
1134,8919694866fffff,0,0,0,0,0
1135,891969480b3ffff,0,0,0,1,0
1136,8919694881bffff,0,0,0,0,0
1137,89196949dbbffff,0,1,1,1,0
1138,8919694a1cbffff,0,1,0,0,0
1139,89196bb2393ffff,0,0,0,0,0
1140,891969489d3ffff,0,0,0,0,0
1141,89196949e0fffff,0,1,0,0,0
1142,8919694828fffff,0,0,0,0,0
1143,89196949b77ffff,1,0,0,1,0
1144,8919694169bffff,0,0,0,0,0
1145,8919694b123ffff,0,0,0,0,0
1146,89196bb36bbffff,0,0,0,0,0
1147,8919694ad53ffff,0,0,0,0,0
1148,8919694a80bffff,0,0,0,0,0
1149,89196949813ffff,0,1,0,1,0
1150,8919694f5d7ffff,0,0,0,1,0
1151,89196949453ffff,0,0,0,0,0
1152,891969495d3ffff,0,0,0,0,0
1153,8919694367bffff,0,0,0,1,0
1154,89196948c23ffff,0,1,0,0,0
1155,891969482abffff,0,0,0,1,0
1156,8919694a96bffff,0,0,1,0,0
1157,89196941ad3ffff,0,0,0,0,0
1158,8919694121bffff,0,0,0,0,0
1159,89196941b5bffff,0,0,0,0,0
1160,891969481dbffff,0,0,0,1,0
1161,8919694162fffff,0,0,0,0,0
1162,8919694a813ffff,0,0,0,0,0
1163,8919694ac83ffff,0,0,0,0,1
1164,89196948307ffff,0,1,0,1,0
1165,8919694abc7ffff,0,1,0,0,0
1166,8919694ad2fffff,0,0,0,0,0
1167,891969416b7ffff,0,0,0,0,0
1168,89196b84ca3ffff,0,0,0,0,0
1169,8919694a8c3ffff,0,0,0,0,0
1170,89196949a83ffff,0,0,1,1,0
1171,8919694954bffff,0,0,0,0,0
1172,89196941b4bffff,0,0,0,0,0
1173,89196bb2257ffff,0,0,0,0,0
1174,8919694896bffff,0,0,1,0,0
1175,89196958963ffff,0,0,0,0,0
1176,89196948567ffff,0,0,1,1,0
1177,8919694b507ffff,0,1,1,1,1
1178,8919694f683ffff,0,1,0,1,0
1179,8919694aa8fffff,0,0,0,0,0
1180,8919694a88fffff,0,0,0,0,0
1181,8919694908bffff,0,0,0,0,0
1182,89196941667ffff,0,0,0,0,0
1183,89196941b33ffff,0,0,0,0,0
1184,89196948827ffff,0,0,0,0,0
1185,89196bb354fffff,0,0,0,0,0
1186,8919694a22fffff,0,1,0,0,0
1187,89196949633ffff,0,0,0,0,0
1188,89196bb3417ffff,0,0,0,1,1
1189,89196949e27ffff,0,1,0,1,0
1190,89196958957ffff,0,0,0,0,1
1191,89196948637ffff,0,0,0,0,0
1192,8919694b3d7ffff,0,0,0,0,0
1193,89196b86807ffff,0,0,0,0,0
1194,8919694b5afffff,0,1,0,1,0
1195,89196941217ffff,0,0,0,0,1
1196,8919694944bffff,0,0,0,0,0
1197,89196bb2667ffff,0,0,0,0,0
1198,8919694a283ffff,0,1,1,1,0
1199,8919694b093ffff,0,0,0,1,0
1200,8919694a9d7ffff,0,0,0,0,0
1201,8919694a61bffff,0,1,0,0,0
1202,89196958903ffff,0,0,0,0,0
1203,89196bb35c7ffff,0,0,0,0,0
1204,8919694a923ffff,0,0,0,0,0
1205,8919694b207ffff,0,0,0,0,0
1206,89196958bcfffff,0,0,0,0,0
1207,89196b86843ffff,0,0,0,1,0
1208,89196958b63ffff,0,0,0,0,0
1209,89196bb269bffff,0,0,0,0,0
1210,8919694a827ffff,0,0,0,0,0
1211,89196949a8fffff,0,0,1,1,0
1212,8919694ab23ffff,0,1,0,0,0
1213,89196948ea7ffff,0,0,1,1,1
1214,89196bb26b3ffff,1,0,0,0,0
1215,89196948d2bffff,0,0,0,0,0
1216,89196948373ffff,0,0,0,1,0
1217,8919694164fffff,0,0,0,0,0
1218,89196958947ffff,0,0,0,0,0
1219,8919694adb7ffff,0,0,0,0,0
1220,8919694ac47ffff,0,0,1,1,0
1221,89196949993ffff,0,0,0,1,1
1222,89196948c77ffff,0,0,0,1,0
1223,89196bb2497ffff,0,0,0,0,0
1224,89196948c7bffff,1,0,0,1,0
1225,89196b84c13ffff,0,0,0,0,0
1226,8919694a543ffff,0,0,0,0,0
1227,89196948613ffff,0,0,0,0,0
1228,89196bb26abffff,1,0,0,0,0
1229,89196bb255bffff,0,0,0,0,0
1230,89196958867ffff,0,0,0,0,0
1231,89196949c33ffff,0,1,0,1,0
1232,8919694a65bffff,0,1,0,1,0
1233,8919694943bffff,0,0,0,0,0
1234,89196b86813ffff,0,0,1,0,0
1235,8919694996bffff,0,0,0,0,0
1236,89196941293ffff,0,0,0,0,0
1237,89196948387ffff,0,0,0,1,0
1238,8919694962fffff,0,0,0,0,0
1239,8919694a18fffff,0,0,0,0,0
1240,8919694ac87ffff,0,0,0,0,1
1241,89196b86a2fffff,0,0,0,0,0
1242,89196bb2267ffff,0,0,0,0,0
1243,89196948a8fffff,0,0,0,0,0
1244,8919694b34fffff,0,0,0,0,0
1245,89196949107ffff,0,1,0,0,0
1246,89196bb2013ffff,0,0,0,0,0
1247,8919694ae77ffff,0,0,0,1,0
1248,89196948807ffff,0,0,0,0,0
1249,8919695886bffff,0,0,0,0,0
1250,89196958aa7ffff,0,0,0,0,0
1251,8919694a177ffff,0,0,0,1,0
1252,89196941e77ffff,0,0,0,0,0
1253,89196b86a33ffff,0,0,1,0,0
1254,891969414dbffff,0,0,0,0,0
1255,8919694f487ffff,0,0,0,0,0
1256,89196949dd3ffff,0,1,1,1,0
1257,8919694846bffff,0,0,0,1,1
1258,8919694a22bffff,0,1,0,0,0
1259,89196bb35bbffff,0,0,0,0,0
1260,89196949183ffff,0,0,0,0,0
1261,89196949ed3ffff,0,0,0,0,0
1262,891969412bbffff,0,0,0,0,1
1263,891969491a7ffff,0,1,0,0,0
1264,89196bb2213ffff,0,0,0,0,0
1265,89196949a27ffff,0,0,0,1,0
1266,89196949337ffff,0,0,0,0,0
1267,8919694b2bbffff,0,0,0,0,0
1268,8919694aaafffff,0,0,0,0,0
1269,8919694b0a3ffff,0,0,0,1,0
1270,89196bb348fffff,0,0,0,1,0
1271,8919694d61bffff,0,0,0,0,0
1272,8919694a8a3ffff,0,0,0,0,0
1273,8919694a6d7ffff,0,1,0,0,0
1274,8919694321bffff,0,0,0,1,0
1275,89196958d0fffff,0,0,0,1,0
1276,8919694b36fffff,0,0,0,0,0
1277,8919694a803ffff,0,0,0,0,0
1278,89196949a53ffff,0,0,0,1,0
1279,89196948263ffff,0,1,0,0,0
1280,8919694860fffff,0,0,0,0,0
1281,8919694a963ffff,0,0,0,0,0
1282,8919695899bffff,0,0,0,0,0
1283,8919694138bffff,0,0,0,1,0
1284,8919694803bffff,0,0,0,0,0
1285,8919694ae47ffff,0,0,1,1,0
1286,8919694d443ffff,0,0,1,0,0
1287,8919694a80fffff,0,0,0,0,0
1288,891969432cfffff,0,0,0,1,0
1289,89196948cafffff,0,1,0,0,0
1290,89196949cafffff,0,1,0,1,0
1291,89196bb22b3ffff,0,0,0,0,0
1292,89196948cc7ffff,0,1,0,0,0
1293,89196bb2063ffff,0,0,0,0,0
1294,89196949a97ffff,0,1,1,1,0
1295,8919694f617ffff,0,1,0,1,0
1296,89196949bcfffff,0,0,1,1,0
1297,8919695891bffff,0,0,0,0,0
1298,89196949e2fffff,0,1,1,1,0
1299,89196bb261bffff,0,0,0,0,0
1300,8919694e6d3ffff,0,0,0,0,0
